Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
BA;2913002;Ibitiara;45,83;27,28;23,22;18,95;
BA;2913101;Ibititá;36,84;25,98;22,73;14,84;
BA;2913200;Ibotirama;38,63;25,13;17,98;13,18;
BA;2913309;Ichu;31,29;20,27;14,24;11,05;
BA;2913408;Igaporã;44,46;30,91;20,39;18,36;
BA;2913457;Igrapiúna;60,72;38,59;24,49;19,39;
BA;2913507;Iguaí;54,82;39,85;30,23;24,06;
BA;2913606;Ilhéus;34,01;20,32;12,48;9,14;
BA;2913705;Inhambupe;47,91;36,57;25,56;20,72;
BA;2913804;Ipecaetá;47,03;32,53;26,23;21,16;
BA;2913903;Ipiaú;36;25,6;19,91;14,8;
BA;2914000;Ipirá;47,27;36,12;27,48;22,55;
BA;2914109;Ipupiara;28,59;18,59;15,88;12,6;
BA;2914208;Irajuba;51,77;38,97;27,82;22,55;
BA;2914307;Iramaia;52,66;29,48;24,32;16,77;
BA;2914406;Iraquara;38,37;26,75;17,72;11,52;
BA;2914505;Irará;43,56;29,08;23,27;16,14;
BA;2914604;Irecê;28,68;18,44;13,4;8,31;
BA;2914653;Itabela;44,06;32,78;25,74;18;
BA;2914703;Itaberaba;34,92;24,78;17,96;12,13;
BA;2914802;Itabuna;22,41;15,06;10,38;8,2;
BA;2914901;Itacaré;54,52;34,88;23;13,72;
BA;2915007;Itaeté;58,85;37,85;26,32;21,01;
BA;2915106;Itagi;50,47;34,84;30,77;20,49;
BA;2915205;Itagibá;53,86;35,49;26,51;18,96;
BA;2915304;Itagimirim;50,14;30,14;27,89;22,36;
BA;2915353;Itaguaçu da Bahia;57,63;34,66;28,72;19,04;
BA;2915403;Itaju do Colônia;49,29;33,57;25,65;19,65;
BA;2915502;Itajuípe;43,62;27,24;21,8;18,86;
BA;2915601;Itamaraju;40,55;28,58;22,11;15,7;
BA;2915700;Itamari;57,37;35,56;28,21;22,65;
BA;2915809;Itambé;49,53;35,02;24,74;20,06;
BA;2915908;Itanagra;55,31;30,68;24,56;17,97;
BA;2916005;Itanhém;44,65;31,73;24,82;18,4;
BA;2916104;Itaparica;19,69;15,65;7,58;7,45999999999999;
BA;2916203;Itapé;42,56;29,91;23,21;18,44;
BA;2916302;Itapebi;54,51;37,07;29,64;22,8;
BA;2916401;Itapetinga;31,8;21,82;14,89;10,92;
BA;2916500;Itapicuru;61,4;47,21;38,52;28,82;
BA;2916609;Itapitanga;48,39;37,14;25,68;19,12;
BA;2916708;Itaquara;57,24;38,28;33,8;21,43;
BA;2916807;Itarantim;43,69;27,25;23,03;16,72;
BA;2916856;Itatim;47,93;30,59;23,32;16,65;
BA;2916906;Itiruçu;43,38;31,5;24,52;20,53;
BA;2917003;Itiúba;45,43;31,75;26,55;19,66;
BA;2917102;Itororó;46,01;31,78;24,37;20,87;
BA;2917201;Ituaçu;53,73;37,5;25,8;21,48;
