Sigla;codigo;municipio;taxa_analfabetismo
CE;2306504;Itapiúna;30.42
CE;2306553;Itarema;26.9
CE;2306603;Itatira;32.57
CE;2306702;Jaguaretama;28.53
CE;2306801;Jaguaribara;25.97
CE;2306900;Jaguaribe;25.56
CE;2307007;Jaguaruana;27.15
CE;2307106;Jardim;26.29
CE;2307205;Jati;26.25
CE;2307254;Jijoca de Jericoacoara;23.51
CE;2307304;Juazeiro do Norte;16.2
CE;2307403;Jucás;31.18
CE;2307502;Lavras da Mangabeira;28.88
CE;2307601;Limoeiro do Norte;19.21
CE;2307635;Madalena;26.12
CE;2307650;Maracanaú;9.6
CE;2307700;Maranguape;15.39
CE;2307809;Marco;28.6
CE;2307908;Martinópole;29.87
CE;2308005;Massapê;28.49
CE;2308104;Mauriti;29.51
CE;2308203;Meruoca;18.71
CE;2308302;Milagres;28.84
CE;2308351;Milhã;28.8
CE;2308377;Miraíma;32.27
CE;2308401;Missão Velha;28.05
CE;2308500;Mombaça;34.02
CE;2308609;Monsenhor Tabosa;29.84
CE;2308708;Morada Nova;28.22
CE;2308807;Moraújo;31.98
CE;2308906;Morrinhos;28.44
CE;2309003;Mucambo;31.61
CE;2309102;Mulungu;22.98
CE;2309201;Nova Olinda;23.3
CE;2309300;Nova Russas;28.44
CE;2309409;Novo Oriente;34.07
CE;2309458;Ocara;30.07
CE;2309508;Orós;29.69
CE;2309607;Pacajus;18.26
CE;2309706;Pacatuba;9.38
CE;2309805;Pacoti;20.33
CE;2309904;Pacujá;28.15
CE;2310001;Palhano;28.38
CE;2310100;Palmácia;24.09
CE;2310209;Paracuru;20.15
CE;2310258;Paraipaba;19.94
CE;2310298;Cococi;
CE;2310308;Parambu;35.09
CE;2310407;Paramoti;29.78
CE;2310506;Pedra Branca;33.19
CE;2310605;Penaforte;22.17
CE;2310704;Pentecoste;24.8
CE;2310803;Pereiro;29.57
CE;2310852;Pindoretama;21.7
CE;2310902;Piquet Carneiro;26.34
CE;2310951;Pires Ferreira;29.94
CE;2311009;Poranga;33.97
CE;2311108;Porteiras;29.17
CE;2311207;Potengi;34.52
CE;2311231;Potiretama;29.11
CE;2311264;Quiterianópolis;32.81
CE;2311306;Quixadá;22.94
CE;2311355;Quixelô;36.7
CE;2311405;Quixeramobim;24.2
CE;2311504;Quixeré;26.03
CE;2311603;Redenção;24.32
CE;2311702;Reriutaba;29.25
CE;2311801;Russas;19.59
CE;2311900;Saboeiro;33.5
CE;2311959;Salitre;39.98
CE;2312007;Santana do Acaraú;29.56
CE;2312106;Santana do Cariri;30,00
CE;2312205;Santa Quitéria;27.43
CE;2312304;São Benedito;27.09
CE;2312403;São Gonçalo do Amarante;20.12
CE;2312502;São João do Jaguaribe;25.8
CE;2312601;São Luís do Curu;22.37
CE;2312700;Senador Pompeu;27.06
CE;2312809;Senador Sá;33.16
CE;2312908;Sobral;17,00
CE;2313005;Solonópole;26.22
CE;2313104;Tabuleiro do Norte;22.54
CE;2313203;Tamboril;32.97
CE;2313252;Tarrafas;35.51
CE;2313302;Tauá;27.34
CE;2313351;Tejuçuoca;27.78
CE;2313401;Tianguá;24.02
CE;2313500;Trairi;23.62
CE;2313559;Tururu;28,00
CE;2313609;Ubajara;24.57
CE;2313708;Umari;32.46
CE;2313757;Umirim;28.47
