Sigla;codigo;municipio;esperanca_vida
MA;2101939;Bernardo do Mearim;69.49
MA;2101970;Boa Vista do Gurupi;65.86
MA;2102002;Bom Jardim;69.98
MA;2102036;Bom Jesus das Selvas;70.05
MA;2102077;Bom Lugar;69.48
MA;2102101;Brejo;70.45
MA;2102150;Brejo de Areia;65.64
MA;2102200;Buriti;67.82
MA;2102309;Buriti Bravo;70.1
MA;2102325;Buriticupu;67.46
MA;2102358;Buritirana;68.5
MA;2102374;Cachoeira Grande;71.36
MA;2102408;Cajapió;68.2
MA;2102507;Cajari;69.79
MA;2102556;Campestre do Maranhão;71.41
MA;2102606;Cândido Mendes;69.72
MA;2102705;Cantanhede;71.45
MA;2102754;Capinzal do Norte;66.9
MA;2102804;Carolina;73.09
MA;2102903;Carutapera;69.84
MA;2103000;Caxias;70.16
MA;2103109;Cedral;69.88
